35
smiles,name,SLURM_JOB_ID,fragmenstein_runtime,score_inspiration,HIPPO Pose ID,HIPPO Compound ID,_id,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,inspiration_1,inspiration_2,green,green-text,red,red-text
O=C([C@H]1CN(S(=O)(=O)N2CCNCC2)Cc2nn[nH]c21)N1CCC[C@@H](c2ccc(CO)cc2)C1,v1a,350559,10.939542,0.787266,203,157,6374,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C157-P141,acceptable,expansion,None,OZWBTGWXFDYOIC-MOPGFXCFSA-N,B0525a,B1020a,true,green,,
O=C([C@H]1CN(S(=O)(=O)N2CCNCC2)Cc2nn[nH]c21)N1CCC[C@@H](c2ccc(CO)cc2)C1,v1b,350559,9.963999,0.743336,206,157,6375,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C157-P168,acceptable,expansion,None,OZWBTGWXFDYOIC-MOPGFXCFSA-N,B0525a,B1020a,true,green,,
CC[S@](=O)(=NCN(C(=O)[C@H]1OCC[C@H]1C)c1cnns1)NCc1ccc2c(c1)OCO2,v3a,350558,3.257951,0.846594,213,472,6376,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C472-P41,acceptable,expansion,None,UDKSHBBSADJHDT-PAOBBKMPSA-N,7gp9-a,7gol-a,,,true,red
CCC(=O)N[C@H]1CC[C@@]2(C[C@H]1O)c1ccc(CNS(=O)(=O)CC)cc1O[C@H]2C,v4a,350558,3.586654,0.670227,225,475,6377,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C475-P13,acceptable,expansion,None,ZZAPKEYDPOHXCZ-NYYTWLDWSA-N,7gp9-a,7gox-a,,,true,red
CCC(=O)N[C@H]1CC[C@@]2(C[C@H]1O)c1ccc(CNS(=O)(=O)CC)cc1O[C@H]2C,v4b,350558,3.799099,0.677863,232,475,6378,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C475-P57,acceptable,expansion,None,ZZAPKEYDPOHXCZ-NYYTWLDWSA-N,7gp9-a,7gox-a,,,true,red
N[C@@H]1Cc2[nH]nnc2CN1CN1CCNCC1,v6a,350559,1.586936,0.726379,252,164,6379,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C164-P168,acceptable,expansion,None,JTUKHQXJKCUGDX-JTQLQIEISA-N,B0875a,B1020a,,,,
CCS(=O)(=O)NCc1ccc2c(c1)O[C@H](C(C)C)O2,v7a,350558,4.088595,0.849732,249,477,6380,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C477-P13,acceptable,expansion,None,GNGRUWAZVCUSFH-CYBMUJFWSA-N,7gp9-a,7gpm-a,,,true,red
CCS(=O)(=O)NCc1ccc2c(c1)O[C@H](C(C)C)O2,v7b,350558,3.546741,0.811165,254,477,6381,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C477-P70,acceptable,expansion,None,GNGRUWAZVCUSFH-CYBMUJFWSA-N,7gp9-a,7gpm-a,,,true,red
CC[S@](=O)(=NCCc1c(Br)c(O)cc2c1C(=O)OC(C)(C)O2)NCc1ccc2c(c1)OCO2,v9a,350558,4.521108,0.834346,261,479,6382,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C479-P13,acceptable,expansion,None,BPGUWYNWEIKHFP-XIFFEERXSA-N,7gp9-a,7gqh-a,,,true,red
CC[S@](=O)(=NCCc1c(Br)c(O)cc2c1C(=O)OC(C)(C)O2)NCc1ccc2c(c1)OCO2,v9b,350558,4.524566,0.819757,268,479,6383,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C479-P78,acceptable,expansion,None,BPGUWYNWEIKHFP-XIFFEERXSA-N,7gp9-a,7gqh-a,,,true,red
