36
smiles,name,SLURM_JOB_ID,fragmenstein_runtime,score_inspiration,HIPPO Pose ID,HIPPO Compound ID,_id,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,inspiration_1,inspiration_2,red,red-text,green,green-text
O=C(CCCn1ccc2cc(Cl)ccc21)NC[C@@H]1CCCN1,v96a,350563,1.85369,0.456663,694,1994,6469,D68EV3C_iter1_knitwork_pure_split1000_batch002.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350563/C1994-P40,acceptable,expansion,None,GAXDYFIBCHSKPE-HNNXBMFYSA-N,7gok-a,7gpf-a,true,red,,
c1cc(N2CCCCC2)ns1,v97a,350568,1.241018,0.796407,2980,4445,6470,D68EV3C_iter1_knitwork_impure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350568/C4445-P44,acceptable,expansion,None,CNBZAADYSVGLQG-UHFFFAOYSA-N,7gp2-a,B1307a,true,red,,
COc1cc(CN[C@H](C)Cc2ccno2)cc2c1OCO2,v98a,350563,1.452699,0.689916,842,2022,6471,D68EV3C_iter1_knitwork_pure_split1000_batch002.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350563/C2022-P59,acceptable,expansion,None,ZBTYMXBQBXMSMR-SNVBAGLBSA-N,7gp9-a,7goy-a,true,red,,
c1cc(CNc2ccc3c(c2)OCO3)on1,v99a,350563,1.202977,0.76063,1210,2074,6472,D68EV3C_iter1_knitwork_pure_split1000_batch002.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350563/C2074-P59,acceptable,expansion,None,BWWXGHHHLUEPOW-UHFFFAOYSA-N,7gp9-a,7goy-a,true,red,,
CN(Cc1ccc2c(c1)OCO2)S(=O)(=O)Cc1ccon1,v100a,350567,2.157441,0.654058,4456,2096,6473,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C2096-P59,acceptable,expansion,None,NUKPEHAZTOWAPU-UHFFFAOYSA-N,7gp9-a,7goy-a,true,red,,
COc1cc2c(cc1CNc1ccon1)OCO2,v101a,350563,1.129179,0.758562,1503,2118,6474,D68EV3C_iter1_knitwork_pure_split1000_batch002.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350563/C2118-P59,acceptable,expansion,None,FTPXADQAPDZZPD-UHFFFAOYSA-N,7gp9-a,7goy-a,true,red,,
O[C@@H](CNCc1ccon1)COCc1ccc2c(c1)OCO2,v102a,350563,1.89046,0.714289,1622,2134,6475,D68EV3C_iter1_knitwork_pure_split1000_batch002.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350563/C2134-P59,acceptable,expansion,None,HJCSXYYFDUKRNW-ZDUSSCGKSA-N,7gp9-a,7goy-a,true,red,,
CN(CCc1ccc2c(c1)OCO2)S(=O)(=O)Cc1ccon1,v103a,350563,3.95967,0.549872,1664,2138,6476,D68EV3C_iter1_knitwork_pure_split1000_batch002.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350563/C2138-P59,acceptable,expansion,None,QMOJJRQLKNWOJS-UHFFFAOYSA-N,7gp9-a,7goy-a,true,red,,
C[C@@H](CNC(=O)c1ccc2ccn(C)c2c1)N1CCCCC1,v104a,350562,6.079965,0.48736,2259,5856,6477,D68EV3C_iter1_knitwork_pure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350562/C5856-P40,acceptable,expansion,None,GWPDEXDIWDHEPZ-AWEZNQCLSA-N,7gok-a,7gp2-a,,,true,green
C[C@@H](CNC(=O)c1ccc2ccn(C)c2c1)N1CCCCC1,v104b,350562,7.675547,0.385023,2269,5856,6478,D68EV3C_iter1_knitwork_pure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350562/C5856-P44,acceptable,expansion,None,GWPDEXDIWDHEPZ-AWEZNQCLSA-N,7gok-a,7gp2-a,,,true,green
N#Cc1noc(N2CCCCC2)c1Cl,v106a,350564,1.185553,0.671224,2381,3182,6479,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3182-P59,acceptable,expansion,None,PDTZHWIYSPFLPG-UHFFFAOYSA-N,7gp2-a,7goy-a,,,true,green
N#CCc1noc(N2CCCCC2)c1Cl,v107a,350564,1.366653,0.535357,2387,3183,6480,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3183-P59,acceptable,expansion,None,BILGHFAWFPMYNX-UHFFFAOYSA-N,7gp2-a,7goy-a,,,true,green
c1cc2ccc(CN(CCN3CCCCC3)[C@@H]3CCCNC3)cc2[nH]1,v108a,350562,5.083646,0.388665,2408,5867,6481,D68EV3C_iter1_knitwork_pure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350562/C5867-P40,acceptable,expansion,None,LPQRCIWRAVBOJZ-HXUWFJFHSA-N,7gok-a,7gp2-a,,,true,green
O=C(N[C@H]1C[C@H](N2CCCCC2)C1)c1ccc2cc[nH]c2c1,v109a,350562,5.143575,0.468602,2430,5868,6482,D68EV3C_iter1_knitwork_pure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350562/C5868-P40,acceptable,expansion,None,KQLYWQIIZPHKEG-WKILWMFISA-N,7gok-a,7gp2-a,,,true,green
O=C(N[C@H]1C[C@H](N2CCCCC2)C1)c1ccc2cc[nH]c2c1,v109b,350562,5.855931,0.359416,2437,5868,6483,D68EV3C_iter1_knitwork_pure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350562/C5868-P44,acceptable,expansion,None,KQLYWQIIZPHKEG-WKILWMFISA-N,7gok-a,7gp2-a,,,true,green
CCS(=O)(=O)NC[C@H]1CCCCN1C(C)C,v111a,350561,2.123941,0.566534,2581,4567,6484,D68EV3C_iter1_knitwork_pure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350561/C4567-P70,acceptable,expansion,None,NFFARXODXGBVGB-LLVKDONJSA-N,7gp9-a,7gpm-a,true,red,,
