37
smiles,name,SLURM_JOB_ID,fragmenstein_runtime,score_inspiration,HIPPO Pose ID,HIPPO Compound ID,_id,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,inspiration_1,inspiration_2,green,green-text
c1cc(N2CCCCC2)ns1,v97a,350568,1.241018,0.796407,2980,4445,6470,D68EV3C_iter1_knitwork_impure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350568/C4445-P44,acceptable,expansion,None,CNBZAADYSVGLQG-UHFFFAOYSA-N,7gp2-a,B1307a,,
CN(Cc1ccc2c(c1)OCO2)S(=O)(=O)Cc1ccon1,v100a,350567,2.157441,0.654058,4456,2096,6473,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C2096-P59,acceptable,expansion,None,NUKPEHAZTOWAPU-UHFFFAOYSA-N,7gp9-a,7goy-a,true,green
Cc1cc(CNCCOC2CNC2)sn1,v159a,350568,2.580509,0.659814,1198,6421,6532,D68EV3C_iter1_knitwork_impure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350568/C6421-P44,acceptable,expansion,None,IJRBNOAQJAKSPP-UHFFFAOYSA-N,7gp2-a,B1307a,,
O=S(=O)(Nc1cnoc1)c1ccc2c(c1)OCCO2,v160a,350570,1.704302,0.658316,2218,3992,6533,D68EV3C_iter1_knitwork_impure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350570/C3992-P59,acceptable,expansion,None,CMWWRTMNCVIWIS-UHFFFAOYSA-N,7gp9-a,7goy-a,true,green
Cc1oncc1NS(=O)(=O)c1ccc2c(c1)OCCO2,v161a,350570,2.573881,0.642463,2235,3994,6534,D68EV3C_iter1_knitwork_impure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350570/C3994-P59,acceptable,expansion,None,UXVDGLOUBYDLQZ-UHFFFAOYSA-N,7gp9-a,7goy-a,,
O=C(CCc1ccc2c(c1)OCCO2)OCCSCc1ccno1,v162a,350570,2.513406,0.565684,2256,3996,6535,D68EV3C_iter1_knitwork_impure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350570/C3996-P59,acceptable,expansion,None,FIUPIBHCUISCGY-UHFFFAOYSA-N,7gp9-a,7goy-a,,
Cc1cc(NCc2ccc3c(c2)OCCO3)no1,v163a,350570,1.222062,0.7953,2570,4029,6536,D68EV3C_iter1_knitwork_impure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350570/C4029-P59,acceptable,expansion,None,SWHUWCJMSMGUSK-UHFFFAOYSA-N,7gp9-a,7goy-a,true,green
Cc1cc(CN(C)C[C@H](O)c2ccc3c(c2)OCCCO3)no1,v164a,350570,2.900812,0.551993,2789,4044,6537,D68EV3C_iter1_knitwork_impure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350570/C4044-P13,acceptable,expansion,None,FTIHFOZIDKDYQS-HNNXBMFYSA-N,7gp9-a,7goy-a,,
CC(C)[C@H]1NCCCS1,v166a,350568,0.956147,0.447902,3544,6591,6538,D68EV3C_iter1_knitwork_impure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350568/C6591-P53,acceptable,expansion,None,OUTAKNAOINYIAR-ZETCQYMHSA-N,7gpf-a,7gpm-a,,
C=CCCC=C1CCNC[C@@H]1CCC,v167a,350568,2.886831,0.505364,3654,6607,6539,D68EV3C_iter1_knitwork_impure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350568/C6607-P53,acceptable,expansion,None,RAMJBJJYEGRWTJ-ZDUSSCGKSA-N,7gpf-a,7gpm-a,,
C=CCCC=C1CCNC[C@@H]1CCC,v167b,350568,2.724652,0.508426,3657,6607,6540,D68EV3C_iter1_knitwork_impure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350568/C6607-P70,acceptable,expansion,None,RAMJBJJYEGRWTJ-ZDUSSCGKSA-N,7gpf-a,7gpm-a,,
CN(Cc1cnco1)C[C@@H](O)COCc1ccc2c(c1)OCO2,v169a,350567,2.009343,0.630024,3973,7035,6541,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C7035-P13,acceptable,expansion,None,WUZZWWHAUMZBOV-CYBMUJFWSA-N,7gp9-a,7goy-a,,
CN(Cc1cnco1)C[C@@H](O)COCc1ccc2c(c1)OCO2,v169b,350567,1.395386,0.674344,3975,7035,6542,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C7035-P59,acceptable,expansion,None,WUZZWWHAUMZBOV-CYBMUJFWSA-N,7gp9-a,7goy-a,,
CN(Cc1ccns1)C[C@@H](O)COCc1ccc2c(c1)OCO2,v171a,350567,1.628005,0.62806,3981,7036,6543,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C7036-P59,acceptable,expansion,None,WQOUBXWIDJZODR-CYBMUJFWSA-N,7gp9-a,7goy-a,,
COc1cc2c(cc1CNCC(F)(F)c1cccnc1)OCO2,v172a,350567,3.293629,0.64127,4203,7068,6544,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C7068-P59,acceptable,expansion,None,ODWLANMSUKTAMB-UHFFFAOYSA-N,7gp9-a,7goy-a,,
O=C(NC[C@@H]1CCCCS1)c1cc(C2CCC2)no1,v174a,350567,2.30289,0.561046,4962,7190,6545,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C7190-P44,acceptable,expansion,None,CQPABNWZTLMXPK-NSHDSACASA-N,7gp2-a,7goy-a,,
O=C(NC[C@@H]1CCCCS1)c1cc(C2CCC2)no1,v174b,350567,2.286308,0.557316,4965,7190,6546,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C7190-P59,acceptable,expansion,None,CQPABNWZTLMXPK-NSHDSACASA-N,7gp2-a,7goy-a,,
CO[C@@H](CNC(=O)c1cc(C2CNC2)no1)c1ccccc1,v176a,350567,2.897178,0.499728,5228,5312,6547,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C5312-P59,acceptable,expansion,None,QUQVZWGJSDFOAG-HNNXBMFYSA-N,7gp2-a,7goy-a,,
COC[C@H](NC(=O)c1cc(C2CNC2)no1)C1CCOCC1,v177a,350567,3.956064,0.511958,5247,5314,6548,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C5314-P59,acceptable,expansion,None,HLCYXWISSBYBTF-ZDUSSCGKSA-N,7gp2-a,7goy-a,,
