https://fragalysis.diamond.ac.uk/viewer/react/projects/1865/568,,,,,,,,,,,,,,,,,,
smiles,SLURM_JOB_ID,fragmenstein_runtime,score_inspiration,HIPPO Pose ID,HIPPO Compound ID,_id,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,name,compound_set,inspiration_1,inspiration_2,green,green-text
O=C([C@H]1CN(S(=O)(=O)N2CCNCC2)Cc2nn[nH]c21)N1CCC[C@@H](c2ccc(CO)cc2)C1,350559,10.939542,0.787266,203,157,6374,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C157-P141,acceptable,expansion,None,OZWBTGWXFDYOIC-MOPGFXCFSA-N,v1a,35,B0525a,B1020a,true,green
CC[S@](=O)(=NCN(C(=O)[C@H]1OCC[C@H]1C)c1cnns1)NCc1ccc2c(c1)OCO2,350558,3.257951,0.846594,213,472,6376,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C472-P41,acceptable,expansion,None,UDKSHBBSADJHDT-PAOBBKMPSA-N,v3a,35,7gp9-a,7gol-a,true,green
CCS(=O)(=O)NCc1ccc2c(c1)O[C@H](C(C)C)O2,350558,4.088595,0.849732,249,477,6380,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C477-P13,acceptable,expansion,None,GNGRUWAZVCUSFH-CYBMUJFWSA-N,v7a,35,7gp9-a,7gpm-a,true,green
CC[S@](=O)(=NCCc1c(Br)c(O)cc2c1C(=O)OC(C)(C)O2)NCc1ccc2c(c1)OCO2,350558,4.521108,0.834346,261,479,6382,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C479-P13,acceptable,expansion,None,BPGUWYNWEIKHFP-XIFFEERXSA-N,v9a,35,7gp9-a,7gqh-a,true,green
O=S(=O)(CCNC[C@@H]1CN(Cc2ccsc2)CC[C@@H]1O)NCc1ccc2c(c1)OCO2,350558,3.767409,0.689322,281,481,6384,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C481-P121,acceptable,expansion,None,JCAIMIBYGYDFJZ-MOPGFXCFSA-N,v11a,35,7gp9-a,7gpk-a,true,green
CC[S@](=O)(=NCc1cc(OC)c(OC)cc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,350558,4.194049,0.827909,345,485,6389,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C485-P13,acceptable,expansion,None,PAACYIUKIWTKAR-DIPNUNPCSA-N,v16a,35,7gp9-a,B0450a,true,green
CC[S@](=O)(=NCc1cc(OC)c(OC)cc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,350558,4.411958,0.796611,352,485,6391,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C485-P132,acceptable,expansion,None,PAACYIUKIWTKAR-DIPNUNPCSA-N,v16b,35,7gp9-a,B0450a,true,green
CC[S@](=O)(=NCc1cc(N2CC[C@@H](c3ccccc3)S2(=O)=O)n2cnnc2c1)NCc1ccc2c(c1)OCO2,350558,4.155586,0.741502,374,488,6395,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C488-P13,acceptable,expansion,None,KFJNKWVMMXQGKO-FKEHTHLJSA-N,v22a,35,7gp9-a,B0691a,true,green
CC[S@](=O)(=NCc1cc(N2CC[C@@H](c3ccccc3)S2(=O)=O)n2cnnc2c1)NCc1ccc2c(c1)OCO2,350558,4.340658,0.717353,380,488,6397,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C488-P144,acceptable,expansion,None,KFJNKWVMMXQGKO-FKEHTHLJSA-N,v22b,35,7gp9-a,B0691a,true,green
CC[S@](=O)(=Nc1cc(Nc2n[nH]c(-c3ccccc3)n2)n2cnnc2c1)NCc1ccc2c(c1)OCO2,350558,6.060364,0.794385,417,491,6399,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C491-P13,acceptable,expansion,None,WVLCXBYYBBKDMZ-DIPNUNPCSA-N,v26a,35,7gp9-a,B0742a,true,green
CC[S@](=O)(=NCc1cc(N2CCC[C@H](c3ccccc3)S2(=O)=O)n2cnnc2c1)NCc1ccc2c(c1)OCO2,350558,8.60639,0.820662,454,492,6402,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C492-P152,acceptable,expansion,None,GGSNEERVTDVMAB-IWIKFHKFSA-N,v29a,35,7gp9-a,B0805a,true,green
