https://fragalysis.diamond.ac.uk/viewer/react/projects/1868/571
smiles,SLURM_JOB_ID,fragmenstein_runtime,score_inspiration,HIPPO Pose ID,HIPPO Compound ID,_id,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,name,compound_set,inspiration_1,inspiration_2,blue,blue-text
O=C([C@H]1CN(S(=O)(=O)N2CCNCC2)Cc2nn[nH]c21)N1CCC[C@@H](c2ccc(CO)cc2)C1,350559,10.939542,0.787266,203,157,6374,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C157-P141,acceptable,expansion,None,OZWBTGWXFDYOIC-MOPGFXCFSA-N,v1a,35,B0525a,B1020a,true,warren-yes
O=C([C@H]1CN(S(=O)(=O)N2CCNCC2)Cc2nn[nH]c21)N1CCC[C@@H](c2ccc(CO)cc2)C1,350559,9.963999,0.743336,206,157,6375,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C157-P168,acceptable,expansion,None,OZWBTGWXFDYOIC-MOPGFXCFSA-N,v1b,35,B0525a,B1020a,true,warren-yes
CCS(=O)(=O)NCc1ccc2c(c1)O[C@H](C(C)C)O2,350558,4.088595,0.849732,249,477,6380,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C477-P13,acceptable,expansion,None,GNGRUWAZVCUSFH-CYBMUJFWSA-N,v7a,35,7gp9-a,7gpm-a,true,warren-yes
CCS(=O)(=O)NCc1ccc2c(c1)O[C@H](C(C)C)O2,350558,3.546741,0.811165,254,477,6381,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C477-P70,acceptable,expansion,None,GNGRUWAZVCUSFH-CYBMUJFWSA-N,v7b,35,7gp9-a,7gpm-a,true,warren-yes
O=S(=O)(NCCn1nnc2c1CCN(S(=O)(=O)N1CCNCC1)C2)c1ccns1,350559,4.800312,0.80695,299,170,6385,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C170-P168,acceptable,expansion,None,HNNKLVDGAITCBS-UHFFFAOYSA-N,v12a,35,B1020a,B1307a,true,warren-yes
O=S(=O)(NCCn1nnc2c1CCN(S(=O)(=O)N1CCNCC1)C2)c1ccns1,350559,6.960829,0.847116,308,170,6386,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C170-P186,acceptable,expansion,None,HNNKLVDGAITCBS-UHFFFAOYSA-N,v12b,35,B1020a,B1307a,true,warren-yes
CC[S@](=O)(=NCc1cc(OC)c(OC)cc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,350558,4.194049,0.827909,345,485,6389,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C485-P13,acceptable,expansion,None,PAACYIUKIWTKAR-DIPNUNPCSA-N,v16a,35,7gp9-a,B0450a,true,warren-yes
CC[S@](=O)(=NCc1cc(OC)c(OC)cc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,350558,4.411958,0.796611,352,485,6391,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C485-P132,acceptable,expansion,None,PAACYIUKIWTKAR-DIPNUNPCSA-N,v16b,35,7gp9-a,B0450a,true,warren-yes
CC[S@](=O)(=Nc1cc(C(=O)NC)ccc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,350558,6.876564,0.789264,362,487,6392,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C487-P13,acceptable,expansion,None,PBDFDUJLYHDLGR-PSXMRANNSA-N,v19a,35,7gp9-a,B0455a,true,warren-yes
CC[S@](=O)(=Nc1cc(C(=O)NC)ccc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,350558,4.483043,0.757653,368,487,6393,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C487-P136,acceptable,expansion,None,PBDFDUJLYHDLGR-PSXMRANNSA-N,v19b,35,7gp9-a,B0455a,true,warren-yes
O=S(=O)(NCCn1nnc2c1CCN(S(=O)(=O)N1CCNCC1)C2)c1cscn1,350559,4.371919,0.796269,371,174,6394,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C174-P168,acceptable,expansion,None,VULGYVLYDAWQHL-UHFFFAOYSA-N,v21a,35,B1020a,B1457a,true,warren-yes
CC[S@](=O)(=Nc1cc(Nc2n[nH]c(-c3ccccc3)n2)n2cnnc2c1)NCc1ccc2c(c1)OCO2,350558,5.076226,0.824099,426,491,6401,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C491-P150,acceptable,expansion,None,WVLCXBYYBBKDMZ-DIPNUNPCSA-N,v26b,35,7gp9-a,B0742a,true,warren-yes
CC[S@](=O)(=NCc1cc(N2CCC[C@H](c3ccccc3)S2(=O)=O)n2cnnc2c1)NCc1ccc2c(c1)OCO2,350558,8.60639,0.820662,454,492,6402,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C492-P152,acceptable,expansion,None,GGSNEERVTDVMAB-IWIKFHKFSA-N,v29a,35,7gp9-a,B0805a,true,warren-yes
C[C@H]1CCO[C@@H]1C(=O)c1ccc2nncn2c1Sc1nc2cc(F)ccc2[nH]1,350559,3.014469,0.755605,482,180,6405,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C180-P180,acceptable,expansion,None,RTJLOAFRGVVSCQ-BTDLBPIBSA-N,v32a,35,7gol-a,B1219a,true,warren-yes
CC[S@](=O)(=NCc1cc2nnc(N)n2cc1-c1cnccn1)NCc1ccc2c(c1)OCO2,350558,2.988236,0.720786,496,494,6406,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C494-P156,acceptable,expansion,None,MFUIOSQSBPZWTL-MGBGTMOVSA-N,v33a,35,7gp9-a,B0857a,true,warren-yes
