smiles,hit0,hit1
[H]c1c([H])c(C([H])([H])N([H])[S@@](=O)(=NC([H])([H])C([H])([H])n2nnnc2C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c2c1OC([H])([H])O2,7gp9-a,7gq4-a
[H]c1[nH]c2c([H])c(N=[S@](=O)(N([H])C([H])([H])c3c([H])c([H])c4c(c3[H])OC([H])([H])O4)C([H])([H])C([H])([H])[H])c(C(=O)N([H])[H])c([H])c2c1[H],7gp9-a,7gok-a
[H]c1nnsc1N(C(=O)[C@@]1([H])OC([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H])C([H])([H])N=[S@](=O)(N([H])C([H])([H])c1c([H])c([H])c2c(c1[H])OC([H])([H])O2)C([H])([H])C([H])([H])[H],7gp9-a,7gol-a
[H]OC([H])(O[H])N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[H])[C@]2([H])N([H])S(=O)(=O)C([H])([H])C([H])=[S@]12=O,7gp9-a,7gp2-a
[H]c1c(N([H])C(=O)N2c3c([H])c([H])c(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c3OC2([H])[H])nc(C([H])([H])[H])c([H])c1[H],7gp9-a,7gpf-a
[H]O[C@]1([H])C([H])([H])[C@@]2(c3c([H])c([H])c(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c3O[C@@]2([H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]1([H])N([H])C(=O)C([H])([H])C([H])([H])[H],7gp9-a,7gox-a
[H]ON([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])N([H])S(=O)(=O)[C@]1([H])N([H])N([H])C([H])([H])C(=O)OC([H])([H])[H],7gp9-a,7goy-a
[H]c1c([H])c(C([H])([H])N([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c([H])c2c1O[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])O2,7gp9-a,7gpm-a
[H]c1c([H])c(C([H])([H])N([H])[S@@](=O)(=NC([H])([H])c2c([H])c([H])c([H])c3nnc(N([H])[H])n23)C([H])([H])C([H])([H])[H])c([H])c2c1OC([H])([H])O2,7gp9-a,7gqf-a
[H]Oc1c([H])c2c(c(C([H])([H])C([H])([H])N=[S@](=O)(N([H])C([H])([H])c3c([H])c([H])c4c(c3[H])OC([H])([H])O4)C([H])([H])C([H])([H])[H])c1Br)C(=O)OC(C([H])([H])[H])(C([H])([H])[H])O2,7gp9-a,7gqh-a
[H]c1nc([H])c2nnc([H])n2c1C([H])([H])N=[S@](=O)(N([H])C([H])([H])c1c([H])c([H])c2c(c1[H])OC([H])([H])O2)C([H])([H])C([H])([H])[H],7gp9-a,7go2-a
