target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C2134,1,,,,c1cc2c(cc1COCC1CO1)OCO2,NCc1ccon1,OC(CNCc1ccon1)COCc1ccc2c(c1)OCO2,Epoxide_+_amine_coupling,,
C2845,1,,,,O=C(O)C1CCN(c2cc(=O)[nH]cn2)CC1,NCCc1ccno1,O=C(NCCc1ccno1)C1CCN(c2cc(=O)[nH]cn2)CC1,Amidation,,
C3233,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CS(=O)(=O)CCCCCN,CS(=O)(=O)CCCCCNC(=O)c1cc(CN2CCCCC2)on1,Amidation,,
C3254,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,COCCN(C)CCCN,COCCN(C)CCCNC(=O)c1cc(CN2CCCCC2)on1,Amidation,,
C3264,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NCCOC(F)F,O=C(NCCOC(F)F)c1cc(CN2CCCCC2)on1,Amidation,,
C3360,1,,,,OCc1cc(C2CCNCC2)no1,c1nc2n(n1)CCNC2,c1nc2n(n1)CCN(Cc1cc(C3CCNCC3)no1)C2,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,
C3996,1,,,,O=C(O)CCc1ccc2c(c1)OCCO2,OCCSCc1ccno1,O=C(CCc1ccc2c(c1)OCCO2)OCCSCc1ccno1,Steglich_esterification,,
C5315,1,,,,O=C(O)c1cc(C2CNC2)no1,COC(CN)C1CCC1,COC(CNC(=O)c1cc(C2CNC2)no1)C1CCC1,Amidation,,
C5316,1,,,,O=C(O)c1cc(C2CNC2)no1,COCC(N)c1nnn[nH]1,COCC(NC(=O)c1cc(C2CNC2)no1)c1nnn[nH]1,Amidation,,
C5327,1,,,,O=C(O)c1cc(C2CNC2)no1,NCC(O)COCC1CC1,O=C(NCC(O)COCC1CC1)c1cc(C2CNC2)no1,Amidation,,
C5856,1,,,,Cn1ccc2ccc(C(=O)O)cc21,CC(CN)N1CCCCC1,CC(CNC(=O)c1ccc2ccn(C)c2c1)N1CCCCC1,Amidation,,
C5868,1,,,,O=C(O)c1ccc2cc[nH]c2c1,NC1CC(N2CCCCC2)C1,O=C(NC1CC(N2CCCCC2)C1)c1ccc2cc[nH]c2c1,Amidation,,
C5906,1,,,,Cn1ccc2ccc(C(=O)O)cc21,CC(CO)N1CCCCC1,CC(COC(=O)c1ccc2ccn(C)c2c1)N1CCCCC1,Steglich_esterification,,
C7068,1,,,,COc1cc2c(cc1C=O)OCO2,NCC(F)(F)c1cccnc1,COc1cc2c(cc1CNCC(F)(F)c1cccnc1)OCO2,Reductive_amination,,
C7190,1,,,,O=C(O)c1cc(C2CCC2)no1,NCC1CCCCS1,O=C(NCC1CCCCS1)c1cc(C2CCC2)no1,Amidation,,
C7248,1,,,,O=C(O)c1cc(C2CNC2)no1,NC(CF)C(F)(F)F,O=C(NC(CF)C(F)(F)F)c1cc(C2CNC2)no1,Amidation,,
C7446,1,,,,Cn1ccc2ccc(C(=O)O)cc21,CC1C(N)C2CCN1CC2,CC1C(NC(=O)c2ccc3ccn(C)c3c2)C2CCN1CC2,Amidation,,
C7449,1,,,,Cn1ccc2ccc(C(=O)O)cc21,C1CCN(C2CNC2)CC1,Cn1ccc2ccc(C(=O)N3CC(N4CCCCC4)C3)cc21,Amidation,,
C7853,1,,,,Cn1ccc2ccc(C(=O)O)cc21,CC1CCN(C2CNC2)CC1,CC1CCN(C2CN(C(=O)c3ccc4ccn(C)c4c3)C2)CC1,Amidation,,
C7854,1,,,,Cn1ccc2ccc(C(=O)O)cc21,OC1CCN(C2CNC2)CC1,Cn1ccc2ccc(C(=O)N3CC(N4CCC(O)CC4)C3)cc21,Amidation,,
C7861,1,,,,Cn1ccc2ccc(C(=O)O)cc21,CC1(N2CCCCC2)CNC1,Cn1ccc2ccc(C(=O)N3CC(C)(N4CCCCC4)C3)cc21,Amidation,,
C7879,1,,,,Cn1ccc2ccc(C(=O)O)cc21,CCC(CN)N1CCCCC1,CCC(CNC(=O)c1ccc2ccn(C)c2c1)N1CCCCC1,Amidation,,
C7887,1,,,,Cn1ccc2ccc(C(=O)O)cc21,C1CCN(C2CCNC2)CC1,Cn1ccc2ccc(C(=O)N3CCC(N4CCCCC4)C3)cc21,Amidation,,
C7889,1,,,,Cn1ccc2ccc(C(=O)O)cc21,CC(C)(CN)N1CCCCC1,Cn1ccc2ccc(C(=O)NCC(C)(C)N3CCCCC3)cc21,Amidation,,
C7890,1,,,,Cn1ccc2ccc(C(=O)O)cc21,CC(CN)N1CCCCC1=O,CC(CNC(=O)c1ccc2ccn(C)c2c1)N1CCCCC1=O,Amidation,,
C7891,1,,,,Cn1ccc2ccc(C(=O)O)cc21,CC1CCCN(C(C)CN)C1,CC1CCCN(C(C)CNC(=O)c2ccc3ccn(C)c3c2)C1,Amidation,,
C7894,1,,,,Cn1ccc2ccc(C(=O)O)cc21,CC1CCN(C(C)CN)CC1,CC1CCN(C(C)CNC(=O)c2ccc3ccn(C)c3c2)CC1,Amidation,,
C7898,1,,,,Cn1ccc2ccc(C(=O)O)cc21,O=C1CCCCN1C1CNC1,Cn1ccc2ccc(C(=O)N3CC(N4CCCCC4=O)C3)cc21,Amidation,,
C8659,1,,,,CC(C)n1ccc2ccc(C(=O)O)cc21,CC1C(N)C2CCN1CC2,CC1C(NC(=O)c2ccc3ccn(C(C)C)c3c2)C2CCN1CC2,Amidation,,
C8662,1,,,,CC(C)n1ccc2ccc(C(=O)O)cc21,C1CCN(C2CNC2)CC1,CC(C)n1ccc2ccc(C(=O)N3CC(N4CCCCC4)C3)cc21,Amidation,,
C8663,1,,,,Cn1cc(C=O)c2ccc(C(=O)O)cc21,CC(CN)N1CCCCC1,CC(CNC(=O)c1ccc2c(C=O)cn(C)c2c1)N1CCCCC1,Amidation,,
C8664,1,,,,Cn1cc(C=O)c2ccc(C(=O)O)cc21,C1CCN(C2CNC2)CC1,Cn1cc(C=O)c2ccc(C(=O)N3CC(N4CCCCC4)C3)cc21,Amidation,,
C8667,1,,,,Cn1cc(C=O)c2ccc(C(=O)O)cc21,CC1C(N)C2CCN1CC2,CC1C(NC(=O)c2ccc3c(C=O)cn(C)c3c2)C2CCN1CC2,Amidation,,
C8673,1,,,,CC(C)n1ccc2ccc(C(=O)O)cc21,CC(CN)N1CCCCC1,CC(CNC(=O)c1ccc2ccn(C(C)C)c2c1)N1CCCCC1,Amidation,,
C8717,1,,,,Cn1cc(C#N)c2ccc(C(=O)O)cc21,CC1C(N)C2CCN1CC2,CC1C(NC(=O)c2ccc3c(C#N)cn(C)c3c2)C2CCN1CC2,Amidation,,
C8720,1,,,,Cn1cc(C#N)c2ccc(C(=O)O)cc21,C1CCN(C2CNC2)CC1,Cn1cc(C#N)c2ccc(C(=O)N3CC(N4CCCCC4)C3)cc21,Amidation,,
C8721,1,,,,Cn1cc(C#N)c2ccc(C(=O)O)cc21,CC(CN)N1CCCCC1,CC(CNC(=O)c1ccc2c(C#N)cn(C)c2c1)N1CCCCC1,Amidation,,
C13310,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NC1CC1N1CCOCC1,O=C(NC1CC1N1CCOCC1)c1cc(CN2CCCCC2)on1,Amidation,,
C13312,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NC1CCN(C2COC2)C1,O=C(NC1CCN(C2COC2)C1)c1cc(CN2CCCCC2)on1,Amidation,,
C13321,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NCC1CN(C2COC2)C1,O=C(NCC1CN(C2COC2)C1)c1cc(CN2CCCCC2)on1,Amidation,,
C13324,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,COCCN1CCC(N)C1,COCCN1CCC(NC(=O)c2cc(CN3CCCCC3)on2)C1,Amidation,,
C13328,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NCCCN1CCOCC1,O=C(NCCCN1CCOCC1)c1cc(CN2CCCCC2)on1,Amidation,,
C13987,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NCCCN1CCCOCC1,O=C(NCCCN1CCCOCC1)c1cc(CN2CCCCC2)on1,Amidation,,
C13988,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NCC(O)CN1CCOCC1,O=C(NCC(O)CN1CCOCC1)c1cc(CN2CCCCC2)on1,Amidation,,
C13992,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,COCCN1CCC(CN)C1,COCCN1CCC(CNC(=O)c2cc(CN3CCCCC3)on2)C1,Amidation,,
C13993,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NCCC(=O)N1CCOCC1,O=C(NCCC(=O)N1CCOCC1)c1cc(CN2CCCCC2)on1,Amidation,,
C13995,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,COCCN1CCCNCC1,COCCN1CCCN(C(=O)c2cc(CN3CCCCC3)on2)CC1,Amidation,,
C14051,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CC(N)CCN1CCOCC1,CC(CCN1CCOCC1)NC(=O)c1cc(CN2CCCCC2)on1,Amidation,,
C14066,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CNCCCN1CCOCC1,CN(CCCN1CCOCC1)C(=O)c1cc(CN2CCCCC2)on1,Amidation,,
C14067,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CN1CCCNCCOCC1,CN1CCCN(C(=O)c2cc(CN3CCCCC3)on2)CCOCC1,Amidation,,
C14080,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,COCC(=O)N1CC(CN)C1,COCC(=O)N1CC(CNC(=O)c2cc(CN3CCCCC3)on2)C1,Amidation,,
C14082,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,COCCN1CCC(N)CC1,COCCN1CCC(NC(=O)c2cc(CN3CCCCC3)on2)CC1,Amidation,,
C14083,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CC(CCN)N1CCOCC1,CC(CCNC(=O)c1cc(CN2CCCCC2)on1)N1CCOCC1,Amidation,,
C14088,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CC(CN)CN1CCOCC1,CC(CNC(=O)c1cc(CN2CCCCC2)on1)CN1CCOCC1,Amidation,,
C14237,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,C1CN(CC2CNC2)CCO1,O=C(c1cc(CN2CCCCC2)on1)N1CC(CN2CCOCC2)C1,Amidation,,
C14240,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,C1CNCCN(C2COC2)C1,O=C(c1cc(CN2CCCCC2)on1)N1CCCN(C2COC2)CC1,Amidation,,
C14248,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,O=C1CCNC2COCCN12,O=C1CCN(C(=O)c2cc(CN3CCCCC3)on2)C2COCCN12,Amidation,,
C14249,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CNC1CCN2CCOC1C2,CN(C(=O)c1cc(CN2CCCCC2)on1)C1CCN2CCOC1C2,Amidation,,
C14250,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,C1CC(N2CCOCC2)CN1,O=C(c1cc(CN2CCCCC2)on1)N1CCC(N2CCOCC2)C1,Amidation,,
C14251,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NC1CC(N2CCOCC2)C1,O=C(NC1CC(N2CCOCC2)C1)c1cc(CN2CCCCC2)on1,Amidation,,
C15180,1,,,,Cc1c[nH]c2cc(C(=O)O)ccc12,NC1CC(N2CCCCC2)C1,Cc1c[nH]c2cc(C(=O)NC3CC(N4CCCCC4)C3)ccc12,Amidation,,
C15201,1,,,,Cn1ccc2ccc(C(=O)O)cc21,NC1CC(N2CCCCC2)C1,Cn1ccc2ccc(C(=O)NC3CC(N4CCCCC4)C3)cc21,Amidation,,
C15218,1,,,,O=C(O)c1ccc2cc[nH]c2c1F,NC1CC(N2CCCCC2)C1,O=C(NC1CC(N2CCCCC2)C1)c1ccc2cc[nH]c2c1F,Amidation,,
C15241,1,,,,O=C(O)c1cc(F)c2cc[nH]c2c1,NC1CC(N2CCCCC2)C1,O=C(NC1CC(N2CCCCC2)C1)c1cc(F)c2cc[nH]c2c1,Amidation,,
C15825,1,,,,COc1cc2cc[nH]c2cc1C(=O)O,NC1CC(N2CCCCC2)C1,COc1cc2cc[nH]c2cc1C(=O)NC1CC(N2CCCCC2)C1,Amidation,,
C16186,1,,,,O=Cc1c[nH]c2cc(C(=O)O)ccc12,NC1CC(N2CCCCC2)C1,O=Cc1c[nH]c2cc(C(=O)NC3CC(N4CCCCC4)C3)ccc12,Amidation,,
C16374,1,,,,N#Cc1c[nH]c2cc(C(=O)O)ccc12,NC1CC(N2CCCCC2)C1,N#Cc1c[nH]c2cc(C(=O)NC3CC(N4CCCCC4)C3)ccc12,Amidation,,
C16924,1,,,,O=C(O)c1cc(C2CCC2)no1,NCC1CCCCS1(=O)=O,O=C(NCC1CCCCS1(=O)=O)c1cc(C2CCC2)no1,Amidation,,
C17117,1,,,,O=C(O)c1cc(C2CCC2)no1,O=S1(=O)CCCC2CNCC21,O=C(c1cc(C2CCC2)no1)N1CC2CCCS(=O)(=O)C2C1,Amidation,,
C18331,1,,,,COc1cc(C=O)cc2c1OCO2,NC(Cc1ccno1)C(=O)O,COc1cc(CNC(Cc2ccno2)C(=O)O)cc2c1OCO2,Reductive_amination,,
C18557,1,,,,COc1cc(C(=O)O)cc2c1OCO2,NC(Cc1ccno1)C(=O)O,COc1cc(C(O)NC(Cc2ccno2)C(=O)O)cc2c1OCO2,Reductive_amination,,
C21573,1,,,,O=C(O)C1CCN(c2cc(=O)[nH]cn2)CC1,NCCc1cc(=O)[nH]o1,O=C(NCCc1cc(=O)[nH]o1)C1CCN(c2cc(=O)[nH]cn2)CC1,Amidation,,
C21575,1,,,,O=C(O)C1CCN(c2cc(=O)[nH]cn2)CC1,Cc1cc(CCN)on1,Cc1cc(CCNC(=O)C2CCN(c3cc(=O)[nH]cn3)CC2)on1,Amidation,,
C21581,1,,,,O=C(O)C1CCN(c2cc(=O)[nH]cn2)CC1,NCCc1cc(Br)no1,O=C(NCCc1cc(Br)no1)C1CCN(c2cc(=O)[nH]cn2)CC1,Amidation,,
C21843,1,,,,c1cc(C2CCNC2)on1,O=C(O)C1CCN(c2cc(=O)[nH]cn2)CC1,O=C(C1CCN(c2cc(=O)[nH]cn2)CC1)N1CCC(c2ccno2)C1,Amidation,,
C21868,1,,,,O=C(O)C1CCN(c2cc(=O)[nH]cn2)CC1,CCc1cc(CCN)on1,CCc1cc(CCNC(=O)C2CCN(c3cc(=O)[nH]cn3)CC2)on1,Amidation,,
C28825,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,O=S1(=O)CC2CCNC2C1,O=C(c1cc(CN2CCCCC2)on1)N1CCC2CS(=O)(=O)CC21,Amidation,,
C28826,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NCC12CC1CS(=O)(=O)C2,O=C(NCC12CC1CS(=O)(=O)C2)c1cc(CN2CCCCC2)on1,Amidation,,
C28830,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,O=S1(=O)CC2CCC(C1)N2,O=C(c1cc(CN2CCCCC2)on1)N1C2CCC1CS(=O)(=O)C2,Amidation,,
C28833,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,O=S1(=O)CCC2(CCN2)C1,O=C(c1cc(CN2CCCCC2)on1)N1CCC12CCS(=O)(=O)C2,Amidation,,
C28835,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,O=S1(=O)CC2CNC(C2)C1,O=C(c1cc(CN2CCCCC2)on1)N1CC2CC1CS(=O)(=O)C2,Amidation,,
C28840,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NCCC1CCS(=O)(=O)C1,O=C(NCCC1CCS(=O)(=O)C1)c1cc(CN2CCCCC2)on1,Amidation,,
C28841,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NCC1CCCS(=O)(=O)C1,O=C(NCC1CCCS(=O)(=O)C1)c1cc(CN2CCCCC2)on1,Amidation,,
C28844,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CS(=O)(=O)CC1CCCN1,CS(=O)(=O)CC1CCCN1C(=O)c1cc(CN2CCCCC2)on1,Amidation,,
C28845,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CS(=O)(=O)CCC1CCN1,CS(=O)(=O)CCC1CCN1C(=O)c1cc(CN2CCCCC2)on1,Amidation,,
C28849,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CS(=O)(=O)CC1CCC1N,CS(=O)(=O)CC1CCC1NC(=O)c1cc(CN2CCCCC2)on1,Amidation,,
C28851,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CS(=O)(=O)C1CCCC1N,CS(=O)(=O)C1CCCC1NC(=O)c1cc(CN2CCCCC2)on1,Amidation,,
C29847,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CC(CN)OC(F)F,CC(CNC(=O)c1cc(CN2CCCCC2)on1)OC(F)F,Amidation,,
C29856,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CNCCOC(F)F,CN(CCOC(F)F)C(=O)c1cc(CN2CCCCC2)on1,Amidation,,
C29865,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NCCOC(F)(F)F,O=C(NCCOC(F)(F)F)c1cc(CN2CCCCC2)on1,Amidation,,
C29898,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,FC1(F)CNCCO1,O=C(c1cc(CN2CCCCC2)on1)N1CCOC(F)(F)C1,Amidation,,
C29906,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,FC(F)OC1CNC1,O=C(c1cc(CN2CCCCC2)on1)N1CC(OC(F)F)C1,Amidation,,
C30330,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,FC(F)OCC1CCN1,O=C(c1cc(CN2CCCCC2)on1)N1CCC1COC(F)F,Amidation,,
C30333,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NCCOC(F)(F)CBr,O=C(NCCOC(F)(F)CBr)c1cc(CN2CCCCC2)on1,Amidation,,
C30334,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CC(C)(CN)OC(F)F,CC(C)(CNC(=O)c1cc(CN2CCCCC2)on1)OC(F)F,Amidation,,
C30342,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,FC(F)(F)OC1CNC1,O=C(c1cc(CN2CCCCC2)on1)N1CC(OC(F)(F)F)C1,Amidation,,
C30346,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CC(F)(F)OC1CNC1,CC(F)(F)OC1CN(C(=O)c2cc(CN3CCCCC3)on2)C1,Amidation,,
