hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series,inspirations
2134,OC(CNCc1ccon1)COCc1ccc2c(c1)OCO2,HJCSXYYFDUKRNW-UHFFFAOYSA-N,1,4,"{69934, 1622, 69933, 1614}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[36265],"{51611, 51607}",[2],Epoxide_+_amine_coupling,True,[2134],"7gp9-a, 7goy-a"
2845,O=C(NCCc1ccno1)C1CCN(c2cc(=O)[nH]cn2)CC1,HCYWIZPHWLZGBJ-UHFFFAOYSA-N,1,3,"{6403, 27364, 6406}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[11264],"{21385, 21471}",[3],Amidation,True,[2845],"7gp2-a, 7goy-a"
3233,CS(=O)(=O)CCCCCNC(=O)c1cc(CN2CCCCC2)on1,AQKDVGWHSYNMMI-UHFFFAOYSA-N,1,3,"{34738, 2738, 2743}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[17396],"{28670, 13126}",[4],Amidation,True,[3233],"7gp2-a, 7goy-a"
3254,COCCN(C)CCCNC(=O)c1cc(CN2CCCCC2)on1,FTXYGSXUURDKCD-UHFFFAOYSA-N,1,3,"{2953, 14386, 2963}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[4519],"{13126, 13159}",[5],Amidation,True,[3254],"7gp2-a, 7goy-a"
3264,O=C(NCCOC(F)F)c1cc(CN2CCCCC2)on1,LBXRJYKIHOQRLN-UHFFFAOYSA-N,1,3,"{37979, 3069, 3078}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[18351],"{29789, 13126}",[6],Amidation,True,[3264],"7gp2-a, 7goy-a"
3360,c1nc2n(n1)CCN(Cc1cc(C3CCNCC3)no1)C2,XRJYMIJOWMWRJH-UHFFFAOYSA-N,1,3,"{67682, 3842, 3838}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[33152],"{46569, 14284}",[7],Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,True,[3360],"7gp2-a, 7goy-a"
3996,O=C(CCc1ccc2c(c1)OCCO2)OCCSCc1ccno1,FIUPIBHCUISCGY-UHFFFAOYSA-N,1,3,"{2256, 49548, 2252}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[23333],"{35417, 35318}",[8],Steglich_esterification,True,[3996],"7gp9-a, 7goy-a"
5315,COC(CNC(=O)c1cc(C2CNC2)no1)C1CCC1,MRUVLVYVOKTPDH-UHFFFAOYSA-N,1,5,"{5250, 5252, 2726, 2695, 66545}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[31143],"{14291, 43823}",[9],Amidation,True,[5315],"7gp2-a, 7gpf-a, 7goy-a"
5316,COCC(NC(=O)c1cc(C2CNC2)no1)c1nnn[nH]1,SOJYOVUYESCPEI-UHFFFAOYSA-N,1,4,"{5257, 59094, 59093, 5254}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[28595],"{14291, 41039}",[10],Amidation,True,[5316],"7gp2-a, 7goy-a"
5327,O=C(NCC(O)COCC1CC1)c1cc(C2CNC2)no1,MPKNORZLORHROU-UHFFFAOYSA-N,1,4,"{5377, 2946, 2934, 5382}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[32483],"{45808, 14291}",[11],Amidation,True,[5327],"7gp2-a, 7gpf-a, 7goy-a"
5856,CC(CNC(=O)c1ccc2ccn(C)c2c1)N1CCCCC1,GWPDEXDIWDHEPZ-UHFFFAOYSA-N,1,4,"{2259, 7404, 2269, 7403}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[1],"{7274, 7339}",[12],Amidation,True,[5856],"7gok-a, 7gp2-a"
5868,O=C(NC1CC(N2CCCCC2)C1)c1ccc2cc[nH]c2c1,KQLYWQIIZPHKEG-UHFFFAOYSA-N,1,4,"{18686, 2437, 2430, 18687}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[6090],"{15074, 14991}",[13],Amidation,True,[5868],"7gok-a, 7gp2-a"
5906,CC(COC(=O)c1ccc2ccn(C)c2c1)N1CCCCC1,QLLFKTQWEOSFEX-UHFFFAOYSA-N,1,4,"{73664, 2633, 2628, 73663}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[37842],"{7274, 53805}",[14],Steglich_esterification,True,[5906],"7gok-a, 7gp2-a"
7068,COc1cc2c(cc1CNCC(F)(F)c1cccnc1)OCO2,ODWLANMSUKTAMB-UHFFFAOYSA-N,1,3,"{4203, 4197, 56230}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[26656],"{38944, 39005}",[17],Reductive_amination,True,[7068],"7gp9-a, 7goy-a"
7190,O=C(NCC1CCCCS1)c1cc(C2CCC2)no1,CQPABNWZTLMXPK-UHFFFAOYSA-N,1,4,"{4962, 23043, 23044, 4965}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[7570],"{16650, 16700}",[18],Amidation,True,[7190],"7gp2-a, 7goy-a"
7248,O=C(NC(CF)C(F)(F)F)c1cc(C2CNC2)no1,JHPNHSYIQHUBJI-UHFFFAOYSA-N,1,3,"{5730, 49334, 5734}","['iter1 scaffolds', 'iter1 exported merges', 'elaborated iter1 scaffold']",1,{1},[22897],"{14291, 34614}",[19],Amidation,True,[7248],"7gp2-a, 7goy-a"
7446,CC1C(NC(=O)c2ccc3ccn(C)c3c2)C2CCN1CC2,JBUAQCDZFZUBEB-UHFFFAOYSA-N,1,0,set(),[],1,{1},[10],"{7274, 7348}",[20],Amidation,False,[5856],"7gok-a, 7gp2-a"
7449,Cn1ccc2ccc(C(=O)N3CC(N4CCCCC4)C3)cc21,KRGWDGPROVXLFW-UHFFFAOYSA-N,1,1,{7426},[],1,{1},[13],"{7274, 7351}",[21],Amidation,False,[5856],"7gok-a, 7gp2-a"
7853,CC1CCN(C2CN(C(=O)c3ccc4ccn(C)c4c3)C2)CC1,UBXJQODBZMEZJG-UHFFFAOYSA-N,1,1,{8124},[],1,{1},[417],"{7401, 7274}",[22],Amidation,False,[5856],"7gok-a, 7gp2-a"
7854,Cn1ccc2ccc(C(=O)N3CC(N4CCC(O)CC4)C3)cc21,IAGHOMWPWLYUIG-UHFFFAOYSA-N,1,1,{8125},[],1,{1},[418],"{7274, 7402}",[23],Amidation,False,[5856],"7gok-a, 7gp2-a"
