hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
51607,c1cc2c(cc1COCC1CO1)OCO2,NZLSEGOANYTJBP-UHFFFAOYSA-N,57.0,60.0,EUR,51.0,5,Enamine,In stock,EN300-09427,c1cc2c(cc1COCC1CO1)OCO2,,57,57,"[36265, 36267, 36270, 36271, 36272, 36276, 36279, 36281, 36309, 36310, 36312, 36318, 36323, 36330, 36331, 36343, 36345, 36466, 36498, 36515, 36521, 36538, 36545, 36549, 36551, 36555, 36902, 36903, 36904, 36908, 36910, 36915, 36924, 36926, 36934, 36939, 36945, 36948, 36949, 36952, 36953, 36955, 36958, 37311, 37321, 37324, 37327, 37333, 37336, 37349, 37373, 37374, 37377, 37379, 37381, 37391, 37410]","[2134, 52128, 52131, 52132, 52133, 52137, 52140, 52142, 52170, 52171, 52173, 52179, 52184, 52191, 52192, 52204, 52206, 52327, 52359, 52376, 52382, 52399, 52406, 52410, 52412, 52416, 52763, 52764, 52765, 52769, 52771, 52776, 52785, 52787, 52795, 52800, 52806, 52809, 52810, 52813, 52814, 52816, 52819, 53172, 53182, 53185, 53188, 53194, 53197, 53210, 53234, 53235, 53238, 53240, 53242, 53252, 53271]",Epoxide_+_amine_coupling,[2134]
51611,NCc1ccon1,NRYCMMCUURADTR-UHFFFAOYSA-N,1.0,1.0,EUR,14.0,5,Enamine,In stock,EN300-108328,NCc1ccon1,,1,1,[36265],[2134],Epoxide_+_amine_coupling,[2134]
21385,O=C(O)C1CCN(c2cc(=O)[nH]cn2)CC1,UXBQIJNWMJIUCA-UHFFFAOYSA-N,6.0,8.0,EUR,86.0,5,Enamine,In stock,EN300-7431712,O=C(O)C1CCN(c2cc(=O)[nH]cn2)CC1,,6,6,"[11264, 11301, 11303, 11309, 11571, 11596]","[2845, 21573, 21575, 21581, 21843, 21868]",Amidation,[2845]
21471,NCCc1ccno1,QERJFBGPSMQXGL-UHFFFAOYSA-N,1.0,1.0,EUR,69.0,5,Enamine,In stock,EN300-343124,NCCc1ccno1,,1,1,[11264],[2845],Amidation,[2845]
13126,O=C(O)c1cc(CN2CCCCC2)on1,NARCGKIHGJYFGP-UHFFFAOYSA-N,55.0,56.0,EUR,219.0,5,Enamine,In stock,EN300-219769,O=C(O)c1cc(CN2CCCCC2)on1,,55,55,"[4519, 4571, 4573, 4582, 4585, 4589, 5248, 5249, 5253, 5254, 5256, 5312, 5327, 5328, 5341, 5343, 5344, 5349, 5498, 5501, 5509, 5510, 5511, 5512, 17396, 17453, 17454, 17458, 17461, 17463, 17468, 17469, 17472, 17473, 17477, 17479, 18351, 18354, 18363, 18372, 18405, 18413, 18837, 18840, 18841, 18849, 18853, 18858, 18859, 18871, 18872, 18874, 18890, 18895, 18897]","[3233, 3254, 3264, 13310, 13312, 13321, 13324, 13328, 13987, 13988, 13992, 13993, 13995, 14051, 14066, 14067, 14080, 14082, 14083, 14088, 14237, 14240, 14248, 14249, 14250, 14251, 28825, 28826, 28830, 28833, 28835, 28840, 28841, 28844, 28845, 28849, 28851, 29847, 29856, 29865, 29898, 29906, 30330, 30333, 30334, 30342, 30346, 30351, 30352, 30364, 30365, 30367, 30383, 30388, 30390]",Amidation,"[3233, 3254, 3264]"
28670,CS(=O)(=O)CCCCCN,FBIOSNLQVWNGLC-UHFFFAOYSA-N,1.0,1.0,EUR,47.0,5,Enamine,In stock,EN300-152576,CS(=O)(=O)CCCCCN,,1,1,[17396],[3233],Amidation,[3233]
13159,COCCN(C)CCCN,HKXOLSWLDQZOTG-UHFFFAOYSA-N,1.0,1.0,EUR,35.0,5,Enamine,In stock,EN300-39240,COCCN(C)CCCN,,1,1,[4519],[3254],Amidation,[3254]
29789,NCCOC(F)F,XVHQHDWOVYAABP-UHFFFAOYSA-N,1.0,1.0,EUR,67.0,5,Enamine,In stock,EN300-190781,NCCOC(F)F,,1,1,[18351],[3264],Amidation,[3264]
14284,OCc1cc(C2CCNCC2)no1,FICFSHKTPFXGTP-UHFFFAOYSA-N,3.0,3.0,EUR,65.0,5,Enamine,In stock,EN300-6496603,OCc1cc(C2CCNCC2)no1,,3,3,"[33152, 33154, 33157]","[3360, 46911, 46914]",Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,[3360]
46569,c1nc2n(n1)CCNC2,DXJKRLHHCGXHMB-UHFFFAOYSA-N,2.0,2.0,EUR,14.0,5,Enamine,In stock,EN300-141224,c1nc2n(n1)CCNC2,,2,2,"[33152, 33726]","[3360, 47483]",Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,[3360]
