id,smiles,tags
117,O=S1(=O)C(c2ccccc2)CCN1c1cccc2nncn12,"{'iter1 exported merges', 'hits'}"
157,O=C(C1CN(S(=O)(=O)N2CCNCC2)Cc2nn[nH]c21)N1CCCC(c2ccc(CO)cc2)C1,{'iter1 exported merges'}
164,NC1Cc2[nH]nnc2CN1CN1CCNCC1,{'iter1 exported merges'}
170,O=S(=O)(NCCn1nnc2c1CCN(S(=O)(=O)N1CCNCC1)C2)c1ccns1,{'iter1 exported merges'}
172,O=S(=O)(NCCn1nnc2c1CCN(S(=O)(=O)N1CCNCC1)C2)N1CCCC1,{'iter1 exported merges'}
174,O=S(=O)(NCCn1nnc2c1CCN(S(=O)(=O)N1CCNCC1)C2)c1cscn1,{'iter1 exported merges'}
176,CCCC(C=CC(=O)OCC)Cn1cc(CN(CC)S(=O)(=O)N2CCNCC2)nn1,{'iter1 exported merges'}
178,CC[SH](=O)=Nn1c(Sc2cccc3nncn23)nc2cc3cc4c(cc3cc21)OCO4,{'iter1 exported merges'}
180,CC1CCOC1C(=O)c1ccc2nncn2c1Sc1nc2cc(F)ccc2[nH]1,{'iter1 exported merges'}
182,Cc1cccc(NC(=O)C2CCCN2COc2ccc3[nH]c(Sc4cccc5nncn45)nc3c2)n1,{'iter1 exported merges'}
183,CCC(=O)Nc1ccc(CCCOc2ccc3[nH]c(Sc4cccc5nncn45)nc3c2)cc1O,{'iter1 exported merges'}
192,O=S1(=O)C(c2ccccc2)CCCC12Cc1nncn1C(Sc1nc3cc(F)ccc3[nH]1)C2,{'iter1 exported merges'}
257,Cc1cc(=O)nc(CCNS(=O)(=O)c2ccns2)[nH]1,{'iter1 exported merges'}
294,CC1CCOC1C=Cc1cc(O)nc(CCNS(=O)(=O)N2CCCC2)n1,{'iter1 exported merges'}
321,Cc1cc(O)nc(CCN(C)S(=O)(=O)N2CCC(N)C2)n1,{'iter1 exported merges'}
367,NC(O)(Nc1cn[nH]c1)c1nc(CCNS(=O)(=O)c2cscn2)nn2ncnc12,{'iter1 exported merges'}
407,Cc1cc(O)nc(CCNS(=O)(=O)c2ccc(N)nc2)n1,{'iter1 exported merges'}
469,Cc1cc(O)nc(CCNS(=O)(=O)N2CCN(N)CC2)n1,{'iter1 exported merges'}
472,CCS(=O)(=NCN(C(=O)C1OCCC1C)c1cnns1)NCc1ccc2c(c1)OCO2,{'iter1 exported merges'}
475,CCC(=O)NC1CCC2(CC1O)c1ccc(CNS(=O)(=O)CC)cc1OC2C,{'iter1 exported merges'}
477,CCS(=O)(=O)NCc1ccc2c(c1)OC(C(C)C)O2,{'iter1 exported merges'}
479,CCS(=O)(=NCCc1c(Br)c(O)cc2c1C(=O)OC(C)(C)O2)NCc1ccc2c(c1)OCO2,{'iter1 exported merges'}
481,O=S(=O)(CCNCC1CN(Cc2ccsc2)CCC1O)NCc1ccc2c(c1)OCO2,{'iter1 exported merges'}
483,CCS(=O)(=Nc1ccc(NS(C)(=O)=O)cc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,{'iter1 exported merges'}
485,CCS(=O)(=NCc1cc(OC)c(OC)cc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,{'iter1 exported merges'}
487,CCS(=O)(=Nc1cc(C(=O)NC)ccc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,{'iter1 exported merges'}
488,CCS(=O)(=NCc1cc(N2CCC(c3ccccc3)S2(=O)=O)n2cnnc2c1)NCc1ccc2c(c1)OCO2,{'iter1 exported merges'}
490,CCS(=O)(=Nc1cc(Sc2nnc(-c3ccc[nH]3)o2)n2cnnc2c1)NCc1ccc2c(c1)OCO2,{'iter1 exported merges'}
491,CCS(=O)(=Nc1cc(Nc2n[nH]c(-c3ccccc3)n2)n2cnnc2c1)NCc1ccc2c(c1)OCO2,{'iter1 exported merges'}
492,CCS(=O)(=NCc1cc(N2CCCC(c3ccccc3)S2(=O)=O)n2cnnc2c1)NCc1ccc2c(c1)OCO2,{'iter1 exported merges'}
