id,smiles,tags
117,O=S1(=O)C(c2ccccc2)CCN1c1cccc2nncn12,"{'hits', 'iter1 exported merges', 'iter1 scaffolds'}"
157,O=C(C1CN(S(=O)(=O)N2CCNCC2)Cc2nn[nH]c21)N1CCCC(c2ccc(CO)cc2)C1,"{'iter1 exported merges', 'iter1 scaffolds'}"
170,O=S(=O)(NCCn1nnc2c1CCN(S(=O)(=O)N1CCNCC1)C2)c1ccns1,"{'iter1 exported merges', 'iter1 scaffolds'}"
172,O=S(=O)(NCCn1nnc2c1CCN(S(=O)(=O)N1CCNCC1)C2)N1CCCC1,"{'iter1 exported merges', 'iter1 scaffolds'}"
174,O=S(=O)(NCCn1nnc2c1CCN(S(=O)(=O)N1CCNCC1)C2)c1cscn1,"{'iter1 exported merges', 'iter1 scaffolds'}"
178,CC[SH](=O)=Nn1c(Sc2cccc3nncn23)nc2cc3cc4c(cc3cc21)OCO4,"{'iter1 exported merges', 'iter1 scaffolds'}"
180,CC1CCOC1C(=O)c1ccc2nncn2c1Sc1nc2cc(F)ccc2[nH]1,"{'iter1 exported merges', 'iter1 scaffolds'}"
182,Cc1cccc(NC(=O)C2CCCN2COc2ccc3[nH]c(Sc4cccc5nncn45)nc3c2)n1,"{'iter1 exported merges', 'iter1 scaffolds'}"
257,Cc1cc(=O)nc(CCNS(=O)(=O)c2ccns2)[nH]1,"{'iter1 exported merges', 'iter1 scaffolds'}"
321,Cc1cc(O)nc(CCN(C)S(=O)(=O)N2CCC(N)C2)n1,"{'iter1 exported merges', 'iter1 scaffolds'}"
407,Cc1cc(O)nc(CCNS(=O)(=O)c2ccc(N)nc2)n1,"{'iter1 exported merges', 'iter1 scaffolds'}"
469,Cc1cc(O)nc(CCNS(=O)(=O)N2CCN(N)CC2)n1,"{'iter1 exported merges', 'iter1 scaffolds'}"
472,CCS(=O)(=NCN(C(=O)C1OCCC1C)c1cnns1)NCc1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
475,CCC(=O)NC1CCC2(CC1O)c1ccc(CNS(=O)(=O)CC)cc1OC2C,"{'iter1 exported merges', 'iter1 scaffolds'}"
477,CCS(=O)(=O)NCc1ccc2c(c1)OC(C(C)C)O2,"{'iter1 exported merges', 'iter1 scaffolds'}"
479,CCS(=O)(=NCCc1c(Br)c(O)cc2c1C(=O)OC(C)(C)O2)NCc1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
