target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C2022,1,,,,COc1cc(C=O)cc2c1OCO2,CC(N)Cc1ccno1,COc1cc(CNC(C)Cc2ccno2)cc2c1OCO2,Reductive_amination,,
C2134,1,,,,c1cc2c(cc1COCC1CO1)OCO2,NCc1ccon1,OC(CNCc1ccon1)COCc1ccc2c(c1)OCO2,Epoxide_+_amine_coupling,,
C2845,1,,,,O=C(O)C1CCN(c2cc(=O)[nH]cn2)CC1,NCCc1ccno1,O=C(NCCc1ccno1)C1CCN(c2cc(=O)[nH]cn2)CC1,Amidation,,
C3233,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,CS(=O)(=O)CCCCCN,CS(=O)(=O)CCCCCNC(=O)c1cc(CN2CCCCC2)on1,Amidation,,
C3254,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,COCCN(C)CCCN,COCCN(C)CCCNC(=O)c1cc(CN2CCCCC2)on1,Amidation,,
C3264,1,,,,O=C(O)c1cc(CN2CCCCC2)on1,NCCOC(F)F,O=C(NCCOC(F)F)c1cc(CN2CCCCC2)on1,Amidation,,
C3360,1,,,,OCc1cc(C2CCNCC2)no1,c1nc2n(n1)CCNC2,c1nc2n(n1)CCN(Cc1cc(C3CCNCC3)no1)C2,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,
C3996,1,,,,O=C(O)CCc1ccc2c(c1)OCCO2,OCCSCc1ccno1,O=C(CCc1ccc2c(c1)OCCO2)OCCSCc1ccno1,Steglich_esterification,,
C5315,1,,,,O=C(O)c1cc(C2CNC2)no1,COC(CN)C1CCC1,COC(CNC(=O)c1cc(C2CNC2)no1)C1CCC1,Amidation,,
C5316,1,,,,O=C(O)c1cc(C2CNC2)no1,COCC(N)c1nnn[nH]1,COCC(NC(=O)c1cc(C2CNC2)no1)c1nnn[nH]1,Amidation,,
C5327,1,,,,O=C(O)c1cc(C2CNC2)no1,NCC(O)COCC1CC1,O=C(NCC(O)COCC1CC1)c1cc(C2CNC2)no1,Amidation,,
C5856,1,,,,Cn1ccc2ccc(C(=O)O)cc21,CC(CN)N1CCCCC1,CC(CNC(=O)c1ccc2ccn(C)c2c1)N1CCCCC1,Amidation,,
C5868,1,,,,O=C(O)c1ccc2cc[nH]c2c1,NC1CC(N2CCCCC2)C1,O=C(NC1CC(N2CCCCC2)C1)c1ccc2cc[nH]c2c1,Amidation,,
C5906,1,,,,Cn1ccc2ccc(C(=O)O)cc21,CC(CO)N1CCCCC1,CC(COC(=O)c1ccc2ccn(C)c2c1)N1CCCCC1,Steglich_esterification,,
C7035,1,,,,O=Cc1cnco1,CNCC(O)COCc1ccc2c(c1)OCO2,CN(Cc1cnco1)CC(O)COCc1ccc2c(c1)OCO2,Reductive_amination,,
C7036,1,,,,CNCC(O)COCc1ccc2c(c1)OCO2,O=Cc1ccns1,CN(Cc1ccns1)CC(O)COCc1ccc2c(c1)OCO2,Reductive_amination,,
C7068,1,,,,COc1cc2c(cc1C=O)OCO2,NCC(F)(F)c1cccnc1,COc1cc2c(cc1CNCC(F)(F)c1cccnc1)OCO2,Reductive_amination,,
C7190,1,,,,O=C(O)c1cc(C2CCC2)no1,NCC1CCCCS1,O=C(NCC1CCCCS1)c1cc(C2CCC2)no1,Amidation,,
C7248,1,,,,O=C(O)c1cc(C2CNC2)no1,NC(CF)C(F)(F)F,O=C(NC(CF)C(F)(F)F)c1cc(C2CNC2)no1,Amidation,,
