smiles,0,1
CCCc1nc2c(s1)CCCCC2,7gpm-a,B1307a
CCCc1nc2c(s1)CC1(CC2)CC1,7gpm-a,B1307a
CC(C)n1cccn1,7gpm-a,B1307a
CC(C)c1nc2c(s1)CSCC2,7gpm-a,B1307a
CC(C)c1ccncc1,7gpm-a,B1307a
CCCc1cscn1,7gpm-a,B1307a
CC(C)c1cnco1,7gpm-a,B1307a
CCCc1nc2c(s1)CSCC2,7gpm-a,B1307a
CC(C)c1ccno1,7gpm-a,B1307a
CCCc1nc2c(s1)CCCCCC2,7gpm-a,B1307a
CCCc1ccno1,7gpm-a,B1307a
CCCc1cccnc1,7gpm-a,B1307a
CCCc1cocn1,7gpm-a,B1307a
CC(C)c1nc2c(s1)CCCC2,7gpm-a,B1307a
CC(C)c1ccccn1,7gpm-a,B1307a
CCCc1nccs1,7gpm-a,B1307a
CC(C)c1cncs1,7gpm-a,B1307a
CC(C)c1nccs1,7gpm-a,B1307a
CC(C)c1nc2c(s1)CCCCC2,7gpm-a,B1307a
CCCc1ccccn1,7gpm-a,B1307a
CC(C)c1ccon1,7gpm-a,B1307a
CCCc1nc2c(s1)CCC21CC1,7gpm-a,B1307a
CC(C)c1nc2c(s1)C1CC1C2,7gpm-a,B1307a
CCCn1cccn1,7gpm-a,B1307a
CC(C)c1nc2c(s1)CCC2,7gpm-a,B1307a
CCCc1cnco1,7gpm-a,B1307a
CCCc1ccncc1,7gpm-a,B1307a
CCCc1nc2c(s1)CCC2,7gpm-a,B1307a
CC(C)c1nc2c(s1)CCC21CC1,7gpm-a,B1307a
CC(C)C=C1CCCc2c1nc(C(C)C)c1c2CCCC1,7gpm-a,B1307a
CC(C)c1ncco1,7gpm-a,B1307a
CCCc1nc2c(s1)C1CC1C2,7gpm-a,B1307a
CCCc1nc2c(s1)CCCC2,7gpm-a,B1307a
CC(C)c1cscn1,7gpm-a,B1307a
CCCn1ncc2c1CCCC2,7gpm-a,B1307a
CC(C)c1nc2c(s1)CC1(CC2)CC1,7gpm-a,B1307a
CC(C)c1nc2c(s1)CCCCCC2,7gpm-a,B1307a
CC(CN(C)C(=O)c1ccc(C(C)C)nc1)NC(=O)Cn1cccn1,7gpm-a,B1307a
CC(CN(C)C(=O)c1cccn1C(C)C)NC(=O)Cn1cccn1,7gpm-a,B1307a
CC(CN(C)C(=O)c1ccccn1)NC(=O)Cn1ccnc1C(C)C,7gpm-a,B1307a
CC(CN(C)C(=O)c1ccncc1)NC(=O)Cn1ccnc1C(C)C,7gpm-a,B1307a
CC(CN(C)C(=O)c1cscn1)NC(=O)Cn1ccnc1C(C)C,7gpm-a,B1307a
CC(CN(C)C(=O)c1cccnc1)NC(=O)Cn1ccnc1C(C)C,7gpm-a,B1307a
CCCn1cc(C(=O)N(C)CC(C)NC(=O)Cn2cccn2)nn1,7gpm-a,B1307a
CCCc1[nH]ccc1C(=O)N(C)CC(C)NC(=O)Cn1cccn1,7gpm-a,B1307a
CCCC1(C(=O)N(C)CC(C)NC(=O)Cn2cccn2)CCC1,7gpm-a,B1307a
CCCC1(C(=O)N(C)CC(C)NC(=O)Cc2cccnc2)CCC1,7gpm-a,B1307a
CC(CN(C)C(=O)c1conc1C(C)C)NC(=O)Cn1cccn1,7gpm-a,B1307a
