smiles,0,1
CC(C)c1cc(F)nc(-c2cnsc2)n1,B1307a,7gpm-a
CC(C)n1ncc(-c2cnsc2)c1F,B1307a,7gpm-a
CC(C)c1cc(F)nc(-c2ccns2)n1,B1307a,7gpm-a
CC(C)c1nc(-c2ccsn2)n(C2CCS(=O)(=O)CC2)n1,B1307a,7gpm-a
CC(C)n1ccc(C(=O)N(C)CC(O)CNC(=O)c2ccsn2)n1,B1307a,7gpm-a
COC(=O)c1c(C(C)C)nsc1NC(=O)NC(C)(C)CN(C)C,B1307a,7gpm-a
CC(C)c1ncccc1COC(=O)C(C)(C)c1cnsc1,B1307a,7gpm-a
CC(C)c1nc(COC(=O)C(C)(C)c2cnsc2)no1,B1307a,7gpm-a
COC(=O)c1c(C(C)C)nsc1NC(=O)N(C)C(C)CO,B1307a,7gpm-a
CC(C)c1ccccc1OCC(O)CNC(=O)c1cnsc1,B1307a,7gpm-a
CCc1nc(-c2ccsn2)n(C(C)C)n1,B1307a,7gpm-a
CCn1nc(C(C)C)nc1-c1ccsn1,B1307a,7gpm-a
CCn1nc(C(C)C)nc1-c1cnsc1,B1307a,7gpm-a
CC(C)c1nc(-c2ccns2)[nH]c(=O)c1I,B1307a,7gpm-a
CC(C)c1noc(CCCC(=O)NCCc2ccns2)n1,B1307a,7gpm-a
CC(CNC(=O)COc1ccsn1)Oc1ccc(C(C)C)cc1,B1307a,7gpm-a
CC(C)C1CCC(C(C)(O)CNC(=O)COc2ccsn2)CC1,B1307a,7gpm-a
CC(C)C1(C(=O)N(C)CC(C)(C)NC(=O)Cc2ccns2)CCC1,B1307a,7gpm-a
CC(Oc1cccc(C(C)C)c1)C(=O)NCc1ccsn1,B1307a,7gpm-a
CC(C)n1ccc(CC(=O)NCc2cnsc2)n1,B1307a,7gpm-a
CC(C)n1cc(CC(=O)NCc2cnsc2)cn1,B1307a,7gpm-a
CC(C)c1ccc(C(C)(C)NC(=O)NCc2cnsc2)cc1,B1307a,7gpm-a
