Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms short tag,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] iter1_frags,[Other] upload_1 2025-02-11
7gp3-a,7gp3_A_201_v1,7gp3,,Cc1ccc(CNC(=O)C2CCC2)cn1,7gp7/A/6/A_v1,True,4a - 7gp7/A/201,4 - 7gp7/A/201/1,F2q - 7gp7/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,4a - 7gp7/A/201,4 - 7gp7/A/201/1,F2q - 7gp7/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,4a - 7gp7/A/201,4 - 7gp7/A/201/1,F2q - 7gp7/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gp3-a,False,True
7gqr-a,7gqr_B_201_v1,7gqr,,Clc1nc2ccccc2o1,7gqr/B/10/B_v1,True,30a - 7gqr/B/201,30 - 7gqr/B/201/1,F2ba - 7gqr/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,30a - 7gqr/B/201,30 - 7gqr/B/201/1,F2ba - 7gqr/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,30a - 7gqr/B/201,30 - 7gqr/B/201/1,F2ba - 7gqr/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gqr-a,False,True
7gp4-a,7gp4_A_201_v1,7gp4,,O=C(Nc1ccccc1)N1CCCC1,7gp7/A/6/A_v1,True,4a - 7gp7/A/201,4 - 7gp7/A/201/1,F2p - 7gp4/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,4a - 7gp7/A/201,4 - 7gp7/A/201/1,F2p - 7gp4/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,4a - 7gp7/A/201,4 - 7gp7/A/201/1,F2p - 7gp4/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gp4-a,False,True
7gqb-a,7gqb_B_201_v1,7gqb,,NC(c1ccccc1)c1ccccc1,7gon/B/47/B_v1,True,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gqb-a,False,True
7gp5-a,7gp5_B_201_v1,7gp5,,CC1=NN(c2ccccc2)C(=O)C1,7gon/B/47/B_v1,True,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gp5-a,False,True
7gon-a,7gon_B_201_v1,7gon,,CN(C)C(=O)COc1cccc(F)c1,7gon/B/47/B_v1,True,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gon-a,False,True
7gpz-a,7gpz_B_201_v1,7gpz,,COCCn1cc(Br)cn1,7gpz/B/164/B_v1,True,24a - 7gpz/B/201,24 - 7gpz/B/201/1,F2au - 7gpz/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,24a - 7gpz/B/201,24 - 7gpz/B/201/1,F2au - 7gpz/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,24a - 7gpz/B/201,24 - 7gpz/B/201/1,F2au - 7gpz/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gpz-a,False,True
7gp6-a,7gp6_B_201_v1,7gp6,,Cc1nc2ccccc2n1CCC(N)=O,7gon/B/47/B_v1,True,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gp6-a,False,True
7gp7-a,7gp7_A_201_v1,7gp7,,CCS(=O)(=O)N1CCC(C(=O)O)CC1,7gp7/A/6/A_v1,True,4a - 7gp7/A/201,4 - 7gp7/A/201/1,F2q - 7gp7/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,4a - 7gp7/A/201,4 - 7gp7/A/201/1,F2q - 7gp7/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,4a - 7gp7/A/201,4 - 7gp7/A/201/1,F2q - 7gp7/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gp7-a,False,True
7gp8-a,7gp8_B_201_v1,7gp8,,CCS(=O)(=O)Nc1ccccc1F,7gon/B/47/B_v1,True,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gp8-a,False,True
7gpu-a,7gpu_A_201_v1,7gpu,,CC(=O)N1C[C@H](CO)[C@H](c2ccccc2)C1,7gon/B/47/B_v1,True,2a - 7gon/B/201,2 - 7gon/B/201/1,F2i - 7gpu/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2i - 7gpu/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2i - 7gpu/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gpu-a,False,True
7gpu-b,7gpu_B_301_v1,7gpu,,CC(=O)N1C[C@H](CO)[C@H](c2ccccc2)C1,7gon/B/47/B_v1,True,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gpu-a,False,True
7gp9-a,7gp9_A_201_v1,7gp9,,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,7gp9/A/163/A_v1,True,1a - 7gp9/A/201,1 - 7gp9/A/201/1,F2b - 7gp9/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,1a - 7gp9/A/201,1 - 7gp9/A/201/1,F2b - 7gp9/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,1a - 7gp9/A/201,1 - 7gp9/A/201/1,F2b - 7gp9/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gp9-a,True,True
7gpv-a,7gpv_B_201_v1,7gpv,,Brc1cnoc1,7gpv/B/95/B_v1,True,21a - 7gpv/B/201,21 - 7gpv/B/201/1,F2ar - 7gpv/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,21a - 7gpv/B/201,21 - 7gpv/B/201/1,F2ar - 7gpv/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,21a - 7gpv/B/201,21 - 7gpv/B/201/1,F2ar - 7gpv/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gpv-a,False,True
7gpw-a,7gpw_B_201_v1,7gpw,,O=C1CC(I)=CC=N1,7gon/B/47/B_v1,True,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gpw-a,False,True
7gpw-c,7gpw_A_201_v1,7gpw,,O=C1CC(I)=CC=N1,7gpw/B/115/A_v1,True,22a - 7gpw/A/201,22 - 7gpw/A/201/1,F2as - 7gpw/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,22a - 7gpw/A/201,22 - 7gpw/A/201/1,F2as - 7gpw/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,22a - 7gpw/A/201,22 - 7gpw/A/201/1,F2as - 7gpw/A/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gpw-c,False,True
7gpw-b,7gpw_B_202_v1,7gpw,,O=C1CC(I)=CC=N1,7gpw/B/74/B_v1,True,3a - 7gpw/B/202,3 - 7gpw/B/202/1,F2l - 7go5/B/401/1,A1 - monomer,F2 - EVD68_Reference_20230131,3a - 7gpw/B/202,3 - 7gpw/B/202/1,F2l - 7go5/B/401/1,A1 - monomer,F2 - EVD68_Reference_20230131,3a - 7gpw/B/202,3 - 7gpw/B/202/1,F2l - 7go5/B/401/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gpw-b,False,True
7gpx-a,7gpx_B_201_v1,7gpx,,N#Cc1cc(Br)ccc1O,7gpx/B/64/B_v1,True,23a - 7gpx/B/201,23 - 7gpx/B/201/1,F2at - 7gpx/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,23a - 7gpx/B/201,23 - 7gpx/B/201/1,F2at - 7gpx/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,23a - 7gpx/B/201,23 - 7gpx/B/201/1,F2at - 7gpx/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gpx-a,False,True
7gpy-a,7gpy_B_201_v1,7gpy,,O=C(O)c1ccc(Br)cc1O,7goa/A/0/A_v1,True,8a - 7goa/A/201,8 - 7goa/A/201/1,F2ad - 7gpy/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,8a - 7goa/A/201,8 - 7goa/A/201/1,F2ad - 7gpy/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,8a - 7goa/A/201,8 - 7goa/A/201/1,F2ad - 7gpy/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gpy-a,False,True
7gq1-a,7gq1_B_201_v1,7gq1,,O=C(O)c1ccsc1,7gon/B/47/B_v1,True,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,2a - 7gon/B/201,2 - 7gon/B/201/1,F2j - 7gqb/B/201/1,A1 - monomer,F2 - EVD68_Reference_20230131,7gq1-a,False,True
